,1,2,3,4,5,6,7,8,9,10,11
1,,Stage ,1 ,Stage ,2 ,Stage ,3 ,POCI ,,Total ,
2,Secured (retail) ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million ,Gross Loans £ million ,Allow. for credit impair- ment losses £ million 
3,At 1 January 2019 ,"25,202.3 ",(17.6) ,"2,250.9 ",(4.4) ,287.3 ,(7.5) ,189.8 ,(7.0) ,"27,930.3 ",(36.5) 
4,Changes reflected in impairment losses: ,,,,,,,,,,
5,Increases due to originations ,"5,823.1 ",(18.3) ,6.3 ,- ,3.0 ,- ,3.4 ,- ,"5,835.8 ",(18.3) 
6,Decreases due to repayments ,"(4,054.6) ",9.7 ,(425.6) ,0.8 ,(62.8) ,1.0 ,(32.0) ,- ,"(4,575.0) ",11.5 
7,Changes in credit risk ,- ,12.8 ,- ,(7.7) ,- ,(1.4) ,- ,4.9 ,- ,8.6 
8,Amounts written off ,- ,- ,- ,- ,(1.9) ,- ,- ,- ,(1.9) ,- 
9,Transfers between stages ,(223.4) ,(2.9) ,145.3 ,3.8 ,78.1 ,(0.9) ,- ,- ,- ,- 
10,To stage 1 ,"2,776.5 ",(5.6) ,"(2,762.9) ",5.5 ,(13.6) ,0.1 ,- ,- ,- ,- 
11,To stage 2 ,"(2,990.1) ",2.7 ,"3,055.7 ",(3.9) ,(65.6) ,1.2 ,- ,- ,- ,- 
12,To stage 3 ,(9.8) ,,(147.5) ,2.2 ,157.3 ,(2.2) ,- ,- ,- ,- 
13,At 31 December 2019 ,"26,747.4 ",(16.3) ,"1,976.9 ",(7.5) ,303.7 ,(8.8) ,161.2 ,(2.1) ,"29,189.2 ",(34.7) 
14,Transfers to credit impairment provisions (note ,30) - ,- ,- ,- ,- ,0.1 ,- ,- ,- ,0.1 
15,Changes reflected in impairment losses: ,,,,,,,,,,
16,Increases due to originations ,"6,164.0 ",(32.4) ,13.1 ,(0.3) ,6.0 ,- ,4.5 ,- ,"6,187.6 ",(32.7) 
17,Decreases due to repayments ,"(4,193.9) ",15.9 ,(317.1) ,1.3 ,(53.0) ,2.3 ,(21.9) ,- ,"(4,585.9) ",19.5 
18,Changes in credit risk ,- ,10.3 ,- ,(5.3) ,- ,0.1 ,- ,(0.7) ,- ,4.4 
19,Amounts written off ,- ,- ,- ,- ,(0.5) ,- ,- ,- ,(0.5) ,- 
20,Transfers between stages: ,(943.7) ,11.9 ,867.3 ,(8.0) ,76.4 ,(3.9) ,- ,- ,- ,- 
21,To stage 1 ,"2,667.8 ",(7.8) ,"(2,656.9) ",7.5 ,(10.9) ,0.3 ,- ,- ,- ,- 
22,To stage 2 ,"(3,607.4) ",19.6 ,"3,679.7 ",(21.3) ,(72.3) ,1.7 ,- ,- ,- ,- 
23,To stage 3 ,(4.1) ,0.1 ,(155.5) ,5.8 ,159.6 ,(5.9) ,- ,- ,- ,- 
24,At 31 December 2020 ,"27,773.8 ",(10.6) ,"2,540.2 ",(19.8) ,332.6 ,(10.2) ,143.8 ,(2.8) ,"30,790.4 ",(43.4) 
25,,,,,,,,,,,
